Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-161	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-03-11	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-03-12	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-03-13	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-03-14	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-03-15	0	0	0	0	0	0	0	0.0						0	0.0
-138	2020-03-16	0	0	0	0	0	0	0	0.0						0	0.0
-137	2020-03-17	0	0	0	0	0	0	0	0.0						0	0.0
-136	2020-03-18	0	0	0	0	0	0	0	0.0						0	0.0
-135	2020-03-19	0	0	0	0	0	0	0	0.0						0	0.0
-134	2020-03-20	0	0	0	0	0	0	0	0.0						0	0.0
-133	2020-03-21	0	0	0	0	0	0	0	0.0						0	0.0
-132	2020-03-22	0	0	0	0	0	0	0	0.0						0	0.0
-131	2020-03-23	0	0	0	0	0	0	0	0.0						0	0.0
-130	2020-03-24	2	0	2	0	0	0	0	0.0						0	0.0
-129	2020-03-25	3	0	1	0	0	0	0	0.0						0	0.0
-128	2020-03-26	6	0	3	0	0	0	0	0.0						0	0.0
-127	2020-03-27	6	0	0	0	0	0	0	0.0						0	0.0
-126	2020-03-28	8	0	2	0	1	0	0	0.0						1	0.0
-125	2020-03-29	8	0	0	0	1	0	0	0.0						1	0.0
-124	2020-03-30	8	0	0	0	1	0	0	0.0						1	0.0
-123	2020-03-31	9	0	1	0	1	0	0	0.0						0	0.0
-122	2020-04-01	10	0	1	0	1	0	0	0.0						0	0.0
-121	2020-04-02	10	0	0	0	1	0	0	0.0						0	0.0
-120	2020-04-03	10	0	0	0	1	0	0	0.0						0	0.0
-119	2020-04-04	10	0	0	0	1	0	0	0.0						0	0.0
-118	2020-04-05	11	0	1	0	1	0	0	0.0						0	0.0
-117	2020-04-06	12	0	1	0	1	0	0	0.0						0	0.0
-116	2020-04-07	14	0	2	0	1	0	0	0.0						0	0.0
-115	2020-04-08	15	0	1	0	2	0	0	0.0						0	0.0
-114	2020-04-09	16	0	1	0	2	0	0	0.0						0	0.0
-113	2020-04-10	16	0	0	0	2	0	0	0.0						0	0.0
-112	2020-04-11	18	0	2	0	2	0	0	0.0						1	0.0
-111	2020-04-12	19	0	1	0	2	0	0	0.0						1	0.0
-110	2020-04-13	19	0	0	0	2	0	0	0.0						0	0.0
-109	2020-04-14	19	0	0	0	2	0	0	0.0						0	0.0
-108	2020-04-15	19	0	0	0	2	0	0	0.0						0	0.0
-107	2020-04-16	19	0	0	0	2	0	0	0.0						0	0.0
-106	2020-04-17	19	0	0	0	2	0	0	0.0						0	0.0
-105	2020-04-18	19	0	0	0	2	0	0	0.0						0	0.0
-104	2020-04-19	19	0	0	0	2	0	0	0.0						0	0.0
-103	2020-04-20	19	0	0	0	2	0	0	0.0						0	0.0
-102	2020-04-21	19	0	0	0	2	0	0	0.0						0	0.0
-101	2020-04-22	19	0	0	0	2	0	0	0.0						0	0.0
-100	2020-04-23	19	0	0	0	2	0	0	0.0						0	0.0
-99	2020-04-24	19	0	0	0	2	0	0	0.0						0	0.0
-98	2020-04-25	19	0	0	0	2	0	0	0.0						0	0.0
-97	2020-04-26	19	0	0	0	2	0	0	0.0						0	0.0
-96	2020-04-27	19	0	0	0	2	0	0	0.0						0	0.0
-95	2020-04-28	19	0	0	0	2	0	0	0.0						0	0.0
-94	2020-04-29	19	0	0	0	2	0	0	0.0						0	0.0
-93	2020-04-30	19	0	0	0	2	0	0	0.0						0	0.0
-92	2020-05-01	19	0	0	0	2	0	0	0.0						0	0.0
-91	2020-05-02	19	0	0	0	2	0	0	0.0						0	0.0
-90	2020-05-03	19	0	0	0	2	0	0	0.0						0	0.0
-89	2020-05-04	19	0	0	0	2	0	0	0.0						0	0.0
-88	2020-05-05	19	0	0	0	2	0	0	0.0						0	0.0
-87	2020-05-06	19	0	0	0	2	0	0	0.0						0	0.0
-86	2020-05-07	19	0	0	0	2	0	0	0.0						0	0.0
-85	2020-05-08	19	0	0	0	2	0	0	0.0						0	0.0
-84	2020-05-09	19	0	0	0	2	0	0	0.0						0	0.0
-83	2020-05-10	19	0	0	0	2	0	0	0.0						0	0.0
-82	2020-05-11	19	0	0	0	2	0	0	0.0						0	0.0
-81	2020-05-12	19	0	0	0	2	0	0	0.0						0	0.0
-80	2020-05-13	19	0	0	0	2	0	0	0.0						0	0.0
-79	2020-05-14	19	0	0	0	2	0	0	0.0						0	0.0
-78	2020-05-15	19	0	0	0	2	0	0	0.0						0	0.0
-77	2020-05-16	19	0	0	0	2	0	0	0.0						0	0.0
-76	2020-05-17	19	0	0	0	2	0	0	0.0						0	0.0
-75	2020-05-18	19	0	0	0	2	0	0	0.0						0	0.0
-74	2020-05-19	19	0	0	0	2	0	0	0.0						0	0.0
-73	2020-05-20	19	0	0	0	2	0	0	0.0						0	0.0
-72	2020-05-21	19	0	0	0	2	0	0	0.0						0	0.0
-71	2020-05-22	19	0	0	0	2	0	0	0.0						0	0.0
-70	2020-05-23	19	0	0	0	2	0	0	0.0						0	0.0
-69	2020-05-24	19	0	0	0	2	0	0	0.0						0	0.0
-68	2020-05-25	19	0	0	0	2	0	0	0.0						0	0.0
-67	2020-05-26	19	0	0	0	2	0	0	0.0						0	0.0
-66	2020-05-27	19	0	0	0	2	0	0	0.0						0	0.0
-65	2020-05-28	19	0	0	0	2	0	0	0.0						0	0.0
-64	2020-05-29	19	0	0	0	2	0	0	0.0						0	0.0
-63	2020-05-30	19	0	0	0	2	0	0	0.0						0	0.0
-62	2020-05-31	19	0	0	0	2	0	0	0.0						0	0.0
-61	2020-06-01	19	0	0	0	2	0	0	0.0						0	0.0
-60	2020-06-02	19	0	0	0	2	0	0	0.0						0	0.0
-59	2020-06-03	19	0	0	0	2	0	0	0.0						0	0.0
-58	2020-06-04	19	0	0	0	2	0	0	0.0						0	0.0
-57	2020-06-05	19	0	0	0	2	0	0	0.0						0	0.0
-56	2020-06-06	19	0	0	0	2	0	0	0.0						0	0.0
-55	2020-06-07	19	0	0	0	2	0	0	0.0						0	0.0
-54	2020-06-08	19	0	0	0	2	0	0	0.0						0	0.0
-53	2020-06-09	19	0	0	0	2	0	0	0.0						0	0.0
-52	2020-06-10	19	0	0	0	2	0	0	0.0						0	0.0
-51	2020-06-11	19	0	0	0	2	0	0	0.0						0	0.0
-50	2020-06-12	19	0	0	0	2	0	0	0.0						0	0.0
-49	2020-06-13	19	0	0	0	2	0	0	0.0						0	0.0
-48	2020-06-14	19	0	0	0	2	0	0	0.0						0	0.0
-47	2020-06-15	19	0	0	0	2	0	0	0.0						0	0.0
-46	2020-06-16	19	0	0	0	2	0	0	0.0						0	0.0
-45	2020-06-17	19	0	0	0	2	0	0	0.0						0	0.0
-44	2020-06-18	19	0	0	0	2	0	0	0.0						0	0.0
-43	2020-06-19	19	0	0	0	2	0	0	0.0						0	0.0
-42	2020-06-20	19	0	0	0	2	0	0	0.0						0	0.0
-41	2020-06-21	19	0	0	0	2	0	0	0.0						0	0.0
-40	2020-06-22	19	0	0	0	2	0	0	0.0						0	0.0
-39	2020-06-23	19	0	0	0	2	0	0	0.0						0	0.0
-38	2020-06-24	19	0	0	0	2	0	0	0.0						0	0.0
-37	2020-06-25	19	0	0	0	2	0	0	0.0						0	0.0
-36	2020-06-26	19	0	0	0	2	0	0	0.0						0	0.0
-35	2020-06-27	19	0	0	0	2	0	0	0.0						0	0.0
-34	2020-06-28	19	0	0	0	2	0	0	0.0						0	0.0
-33	2020-06-29	19	0	0	0	2	0	0	0.0						0	0.0
-32	2020-06-30	19	0	0	0	2	0	0	0.0						0	0.0
-31	2020-07-01	19	0	0	0	2	0	0	0.0						0	0.0
-30	2020-07-02	19	0	0	0	2	0	0	0.0						0	0.0
-29	2020-07-03	19	0	0	0	2	0	0	0.0						0	0.0
-28	2020-07-04	19	0	0	0	2	0	0	0.0						0	0.0
-27	2020-07-05	19	0	0	0	2	0	0	0.0						0	0.0
-26	2020-07-06	19	0	0	0	2	0	0	0.0						0	0.0
-25	2020-07-07	19	0	0	0	2	0	0	0.0						0	0.0
-24	2020-07-08	19	0	0	0	2	0	0	0.0						0	0.0
-23	2020-07-09	19	0	0	0	2	0	0	0.0						0	0.0
-22	2020-07-10	19	0	0	0	2	0	0	0.0						0	0.0
-21	2020-07-11	19	0	0	0	2	0	0	0.0						0	0.0
-20	2020-07-12	19	0	0	0	2	0	0	0.0						0	0.0
-19	2020-07-13	19	0	0	0	2	0	0	0.0						0	0.0
-18	2020-07-14	19	0	0	0	2	0	0	0.0						0	0.0
-17	2020-07-15	19	0	0	0	2	0	0	0.0						0	0.0
-16	2020-07-16	19	0	0	0	2	0	0	0.0						0	0.0
-15	2020-07-17	19	0	0	0	2	0	0	0.0						0	0.0
-14	2020-07-18	19	0	0	0	2	0	0	0.0						0	0.0
-13	2020-07-19	19	0	0	0	2	0	0	0.0						0	0.0
-12	2020-07-20	19	0	0	0	2	0	0	0.0						0	0.0
-11	2020-07-21	19	0	0	0	2	0	0	0.0						0	0.0
-10	2020-07-22	19	0	0	0	2	0	0	0.0						0	0.0
-9	2020-07-23	19	0	0	0	2	0	0	0.0						0	0.0
-8	2020-07-24	20	0	1	0	2	0	0	0.0						0	0.0
-7	2020-07-25	20	0	0	0	2	0	0	0.0						0	0.0
-6	2020-07-26	20	0	0	0	2	0	0	0.0						0	0.0
-5	2020-07-27	20	0	0	0	2	0	0	0.0						0	0.0
-4	2020-07-28	20	0	0	0	2	0	0	0.0						0	0.0
-3	2020-07-29	20	0	0	0	2	0	0	0.0						0	0.0
-2	2020-07-30	20	0	0	0	2	0	0	0.0						0	0.0
-1	2020-07-31	20	0	0	0	2	0	0	0.0						0	0.0
0	2020-08-01	20	0	0	0	2	0	0	0.0						0	0.0
